source_id,official_name,prefecture,action,target_candidate_id,match_rule
LASENS-543,シアターサンモール,東京都,new,,no_match
LASENS-545,シアタートラム,東京都,attach_space,CAND-1262,manual_reviewed
LASENS-2551,シアターミネルヴァ,東京都,new,,no_match
LASENS-535,新宿シアターモリエール,東京都,new,,no_match
LASENS-524,シアター代官山,東京都,new,,no_match
LASENS-525,シアター風姿花伝,東京都,new,,no_match
LASENS-534,シアターΧ,東京都,new,,no_match
LASENS-236,中野スタジオあくとれ,東京都,new,,no_match
LASENS-704,スタジオ空洞,東京都,new,,no_match
LASENS-3340,ステージカフェ 下北沢亭,東京都,new,,no_match
LASENS-3617,スペースM&A,東京都,new,,no_match
LASENS-651,すみだパークシアター倉,東京都,new,,no_match
LASENS-266,アウラホール,東京都,new,,no_match
LASENS-635,調布市せんがわ劇場,東京都,new,,no_match
LASENS-608,テアトルBONBON,東京都,new,,no_match
LASENS-520,テルプシコール,東京都,new,,no_match
LASENS-653,TEMPORARY CONTEMPORARY,東京都,new,,no_match
LASENS-410,なかの芸能小劇場,東京都,new,,no_match
LASENS-2856,ハーフムーンホール - 下北沢,東京都,new,,no_match
LASENS-3528,バルスタジオ,東京都,new,,no_match
LASENS-516,パルテノン多摩 小ホール,東京都,attach_space,CAND-1269,manual_reviewed
LASENS-454,プーク人形劇場,東京都,new,,no_match
LASENS-275,築地本願寺ブディストホール,東京都,new,,no_match
LASENS-3774,ブルースクエア四谷,東京都,new,,no_match
LASENS-405,ムーブ町屋（ムーブホール）,東京都,new,,no_match
LASENS-2008,エモーシア神楽坂,東京都,new,,no_match
LASENS-640,ラフォーレミュージアム原宿,東京都,new,,no_match
LASENS-357,レパートリーシアターKAZE,東京都,new,,no_match
LASENS-2355,新中野ワニズホール,東京都,new,,no_match
LASENS-290,荏原文化センター 大ホール,東京都,new,,no_match
LASENS-295,駅前劇場,東京都,new,,no_match
LASENS-463,SUBTERRANEAN,東京都,new,,no_match
LASENS-432,インディペンデントシアターOji,東京都,new,,no_match
LASENS-2160,パフォーミングギャラリー＆カフェ 絵空箱,東京都,new,,no_match
LASENS-359,武蔵野市立吉祥寺シアター,東京都,new,,no_match
LASENS-575,牛込箪笥区民ホール,東京都,tag_only,CAND-1397,name_parent_of
LASENS-561,桐朋学園芸術短期大学 小劇場,東京都,new,,no_match
LASENS-376,東京大学教養学部多目的ホール（駒場小空間）,東京都,new,,no_match
LASENS-292,恵比寿・エコー劇場,東京都,new,,no_match
LASENS-317,「劇」小劇場,東京都,new,,no_match
LASENS-610,劇場HOPE,東京都,new,,no_match
LASENS-399,劇場MOMO,東京都,new,,no_match
LASENS-2024,劇場ビット,東京都,new,,no_match
LASENS-3935,元映画館,東京都,new,,no_match
LASENS-319,現代座ホール,東京都,new,,no_match
LASENS-377,深川江戸資料館 小劇場,東京都,attach_space,CAND-1399,manual_reviewed
LASENS-626,高田馬場ラビネスト,東京都,new,,no_match
LASENS-679,座・高円寺１,東京都,new,,no_match
LASENS-680,座・高円寺2,東京都,new,,no_match
LASENS-498,三鷹市芸術文化センター 星のホール,東京都,attach_space,CAND-1270,name_room_of
LASENS-618,三鷹市芸術文化センター 風のホール,東京都,attach_space,CAND-1270,name_room_of
LASENS-569,参宮橋トランスミッション,東京都,new,,no_match
LASENS-687,大森山王FOREST,東京都,new,,no_match
LASENS-600,四谷区民ホール,東京都,tag_only,CAND-1396,name_parent_of
LASENS-344,時事通信ホール,東京都,new,,no_match
LASENS-3562,ばぐちか,東京都,new,,no_match
LASENS-646,小金井フラワーホール,東京都,new,,no_match
LASENS-483,ひつじ座,東京都,new,,no_match
LASENS-706,小劇場B1,東京都,new,,no_match
LASENS-485,小劇場楽園,東京都,new,,no_match
LASENS-346,上智大学1号館講堂（通称：上智小劇場）,東京都,new,,no_match
LASENS-682,上野ストアハウス,東京都,new,,no_match
LASENS-2649,新宿眼科画廊 スペース地下,東京都,new,,no_match
LASENS-700,新宿村LIVE,東京都,new,,no_match
LASENS-478,新宿区立新宿文化センター 小ホール,東京都,attach_space,CAND-1241,name_room_of
LASENS-403,森下スタジオ Cスタジオ,東京都,new,,no_match
LASENS-402,江東区森下文化センター 第1レクホール,東京都,attach_space,CAND-1402,name_room_of
LASENS-681,KAAT神奈川芸術劇場 大スタジオ,東京都,new,,no_match
LASENS-4132,水性,東京都,new,,no_match
LASENS-634,成城ホール（砧区民会館）,東京都,new,,no_match
LASENS-230,赤羽会館 小ホール,東京都,attach_space,CAND-1484,name_room_of
LASENS-234,赤坂RED/THEATER,東京都,new,,no_match
LASENS-475,千本桜ホール,東京都,new,,no_match
LASENS-2012,浅草花劇場,東京都,new,,no_match
LASENS-2018,浅草九劇,東京都,new,,no_match
LASENS-607,全電通ホール,東京都,new,,no_match
